Currency_Code,Currency_Description," Number of FCEs
 ",National_Average_Unit_Cost,Total Costs,No. Data Submissions,
EB04Z,Hypertension,315,1135.00,357375.00,84,"£946,143.42"
EB05A,Cardiac Arrest with CC Score 9+,55,4640.00,255192.00,28,"£2,187,099.76"
EB05B,Cardiac Arrest with CC Score 5-8,27,1201.00,32428.00,19,"£2,196,713.03"
EB05C,Cardiac Arrest with CC Score 0-4,36,2921.00,105138.00,21,"£1,190,142.44"
EB06A,Cardiac Valve Disorders with CC Score 13+,385,3999.00,1539541.00,46,"£298,070.52"
EB06B,Cardiac Valve Disorders with CC Score 9-12,600,3296.00,1977590.00,55,"£564,839.82"
EB06C,Cardiac Valve Disorders with CC Score 5-8,648,2530.00,1639447.00,60,"£823,854.68"
EB06D,Cardiac Valve Disorders with CC Score 0-4,379,2039.00,772944.00,67,"£1,542,420.46"
EB07A,"Arrhythmia or Conduction Disorders, with CC Score 13+",222,2624.00,582618.00,69,"£1,950,342.84"
EB07B,"Arrhythmia or Conduction Disorders, with CC Score 10-12",391,1785.00,697970.00,95,"£67,773.96"
EB07C,"Arrhythmia or Conduction Disorders, with CC Score 7-9",769,1434.00,1102533.00,119,"£112,637.64"
EB07D,"Arrhythmia or Conduction Disorders, with CC Score 4-6","1,209",1165.00,1408888.00,130,"£184,458.55"
EB07E,"Arrhythmia or Conduction Disorders, with CC Score 0-3","1,602",1028.00,1646105.00,126,"£221,841.98"
EB08A,"Syncope or Collapse, with CC Score 13+",44,2307.00,101496.00,28,"£242,277.17"
EB08B,"Syncope or Collapse, with CC Score 10-12",72,1357.00,97707.00,39,"£359,722.72"
EB08C,"Syncope or Collapse, with CC Score 7-9",126,1248.00,157302.00,59,"£119,551.63"
EB08D,"Syncope or Collapse, with CC Score 4-6",170,1695.00,288137.00,72,"£568,879.12"
EB08E,"Syncope or Collapse, with CC Score 0-3",189,865.00,163452.00,71,"£554,194.30"
EB09A,Non-Interventional Congenital Cardiac Conditions with CC Score 3+,197,4494.00,885359.00,21,"£449,195.34"
EB09B,Non-Interventional Congenital Cardiac Conditions with CC Score 0-2,59,2747.00,162082.00,20,"£482,005.93"
EB10A,"Actual or Suspected Myocardial Infarction, with CC Score 13+",263,2600.00,683894.00,67,"£197,760.65"
EB10B,"Actual or Suspected Myocardial Infarction, with CC Score 10-12",240,2151.00,516338.00,71,"£86,061.49"
EB10C,"Actual or Suspected Myocardial Infarction, with CC Score 7-9",218,1739.00,379090.00,70,"£259,246.50"
EB10D,"Actual or Suspected Myocardial Infarction, with CC Score 4-6",237,1489.00,352941.00,72,"£435,504.22"
EB10E,"Actual or Suspected Myocardial Infarction, with CC Score 0-3",129,1494.00,192748.00,48,"£59,483.77"
EB12A,Unspecified Chest Pain with CC Score 11+,118,1306.00,154126.00,44,"£93,621.38"
EB12B,Unspecified Chest Pain with CC Score 5-10,338,1001.00,338286.00,86,"£185,775.62"
EB12C,Unspecified Chest Pain with CC Score 0-4,636,540.00,343711.00,89,"£109,482.47"
EB13A,Angina with CC Score 12+,48,2382.00,114319.00,26,"£2,249,885.38"
EB13B,Angina with CC Score 8-11,98,1620.00,158796.00,46,"£4,122,521.10"
EB13C,Angina with CC Score 4-7,190,1314.00,249649.00,54,"£3,859,940.28"
EB13D,Angina with CC Score 0-3,128,1080.00,138243.00,40,"£3,863,446.24"
EB14A,Other Acquired Cardiac Conditions with CC Score 13+,853,3868.00,3299343.00,89,"£1,374,766.59"
EB14B,Other Acquired Cardiac Conditions with CC Score 9-12,"1,565",3029.00,4741045.00,112,"£85,042.16"
EB14C,Other Acquired Cardiac Conditions with CC Score 6-8,"1,466",2346.00,3439779.00,119,"£99,813.13"
EB14D,Other Acquired Cardiac Conditions with CC Score 3-5,"1,535",1994.00,3061242.00,120,"£38,550.04"
EB14E,Other Acquired Cardiac Conditions with CC Score 0-2,629,1664.00,1046415.00,104,"£934,009.82"
EB15A,Primary Pulmonary Hypertension with CC Score 9+,50,4293.00,214635.00,9,"£4,274,215.97"
EB15B,Primary Pulmonary Hypertension with CC Score 4-8,91,2450.00,222974.00,6,"£3,996,313.69"
EB15C,Primary Pulmonary Hypertension with CC Score 0-3,47,2328.00,109401.00,7,"£1,151,091.97"
EC10A,Very Complex Procedures for Congenital Heart Disease with CC Score 15+,135,21161.00,2856741.00,21,"£6,564,036.84"
EC10B,Very Complex Procedures for Congenital Heart Disease with CC Score 7-14,544,14385.00,7825472.00,30,"£8,025,014.91"
EC10C,Very Complex Procedures for Congenital Heart Disease with CC Score 0-6,367,10532.00,3865263.00,30,"£2,570,824.64"
EC11A,Complex Procedures for Congenital Heart Disease with CC Score 15+,146,16090.00,2349068.00,21,"£4,559,594.32"
EC11B,Complex Procedures for Congenital Heart Disease with CC Score 7-14,673,12938.00,8707539.00,28,"£3,155,278.56"
EC11C,Complex Procedures for Congenital Heart Disease with CC Score 0-6,587,10838.00,6361846.00,28,"£2,068,334.36"
EC12A,Very Major Procedures for Congenital Heart Disease with CC Score 9+,240,13714.00,3291244.00,23,"£4,095,445.68"
EC12B,Very Major Procedures for Congenital Heart Disease with CC Score 4-8,403,9875.00,3979672.00,26,"£3,428,971.39"
EC12C,Very Major Procedures for Congenital Heart Disease with CC Score 0-3,225,9487.00,2134666.00,24,"£770,263.98"
EC13A,Major Procedures for Congenital Heart Disease with CC Score 9+,246,10641.00,2617766.00,25,"£2,611,543.21"
EC13B,Major Procedures for Congenital Heart Disease with CC Score 4-8,420,8911.00,3742630.00,30,"£8,054,457.62"
EC13C,Major Procedures for Congenital Heart Disease with CC Score 0-3,330,7908.00,2609492.00,28,"£2,871,715.26"
EC14A,Intermediate Procedures for Congenital Heart Disease with CC Score 9+,180,7184.00,1293157.00,19,"£4,573,823.81"
EC14B,Intermediate Procedures for Congenital Heart Disease with CC Score 4-8,440,5000.00,2199783.00,26,"£2,737,408.63"
EC14C,Intermediate Procedures for Congenital Heart Disease with CC Score 0-3,"1,317",4070.00,5360366.00,29,"£2,199,376.92"
EC15A,Minor Procedures for Congenital Heart Disease with CC Score 4+,754,6065.00,4572984.00,39,"£355,617.27"
EC15B,Minor Procedures for Congenital Heart Disease with CC Score 0-3,726,4540.00,3296174.00,36,"£85,893.87"
EC20A,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 4+,644,4854.00,3125828.00,39,"£151,555.97"
EC20B,Diagnostic Percutaneous Intervention for Congenital Heart Disease with CC Score 0-3,452,3876.00,1752144.00,38,"£2,636,846.22"
EC21Z,Complex Echocardiogram for Congenital Heart Disease,179,1791.00,320554.00,26,"£1,185,397.52"
EC22Z,"Electrocardiogram Monitoring or Stress Testing, for Congenital Heart Disease",47,1668.00,78401.00,10,"£3,406,647.39"
ED01Z,Heart and Lung Transplant,2,58673.00,117347.00,2,"£514,412.60"
ED04Z,Complex Heart Transplant,18,48794.00,878296.00,6,"£722,381.36"
ED05Z,Standard Heart Transplant,17,63418.00,1078104.00,6,"£1,698,492.49"
ED06Z,"Insertion of Short-Term Bridge to Transplant Ventricular Assist Device, with Heart Transplant",1,149967.00,149967.00,1,"£1,399,068.63"
ED07Z,"Insertion of Short-Term Bridge to Transplant Ventricular Assist Device, without Heart Transplant",17,56806.00,965710.00,8,"£784,619.78"
ED08Z,Complex Insertion of Long-Term Bridge to Transplant Ventricular Assist Device,4,67536.00,270145.00,1,"£2,026,655.87"
ED09Z,Standard Insertion of Long-Term Bridge to Transplant Ventricular Assist Device,33,74933.00,2472783.00,7,"£2,344,580.75"
ED11Z,Standard Repair of Descending Thoracic Aorta,27,14694.00,396730.00,15,"£1,897,378.35"
ED12A,Complex Repair of Aortic Root with CC Score 7+,206,17277.00,3559022.00,23,"£1,350,595.88"
ED12B,Complex Repair of Aortic Root with CC Score 0-6,118,14858.00,1753231.00,23,"£3,283,635.31"
ED13A,Standard Repair of Aortic Root with CC Score 7+,65,16119.00,1047731.00,23,"£4,410,211.71"
ED13B,Standard Repair of Aortic Root with CC Score 0-6,77,12921.00,994911.00,25,"£5,352,997.48"
ED14A,Complex Repair of Ascending Thoracic Aorta with CC Score 7+,115,18081.00,2079292.00,23,"£1,758,116.78"
ED14B,Complex Repair of Ascending Thoracic Aorta with CC Score 0-6,74,14166.00,1048276.00,26,"£3,823,601.14"
ED15A,Standard Repair of Ascending Thoracic Aorta with CC Score 7+,68,15107.00,1027245.00,23,"£1,956,655.38"
ED15B,Standard Repair of Ascending Thoracic Aorta with CC Score 0-6,102,10274.00,1047979.00,28,"£2,358,697.47"
ED16Z,Hybrid Repair of Descending Thoracic Aorta or Aortic Arch,46,23977.00,1102948.00,15,"£2,256,559.42"
ED17Z,Very Complex Repair of Descending Thoracic Aorta or Aortic Arch,52,21411.00,1113357.00,16,"£3,472,826.48"
ED18Z,Complex Repair of Descending Thoracic Aorta or Aortic Arch,49,18096.00,886695.00,18,"£7,116,596.49"
ED20A,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",366,19774.00,7237368.00,27,"£12,245,948.75"
ED20B,"Complex, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",250,15299.00,3824720.00,26,"£2,447,491.59"
ED21A,"Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 8+",117,16479.00,1928000.00,22,"£5,142,539.37"
ED21B,"Standard, Repair or Replacement, of Multiple Heart Valves, with CC Score 0-7",161,14061.00,2263871.00,26,"£8,815,838.64"
ED22A,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",175,18348.00,3210924.00,23,"£3,576,308.48"
ED22B,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",182,15806.00,2876754.00,25,"£10,783,792.81"
ED22C,"Complex, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",119,14215.00,1691532.00,23,"£30,249,677.38"
ED23A,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 11+",281,15737.00,4421983.00,27,"£1,399,528.24"
ED23B,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 6-10",500,13864.00,6932176.00,26,"£2,344,376.64"
ED23C,"Standard, Coronary Artery Bypass Graft with Single Heart Valve Replacement or Repair, with CC Score 0-5",541,12840.00,6946464.00,26,"£3,788,437.10"
ED24A,"Complex, Single Heart Valve Replacement or Repair, with CC Score 11+",319,17455.00,5568210.00,26,"£1,329,421.80"
ED24B,"Complex, Single Heart Valve Replacement or Repair, with CC Score 6-10",551,14355.00,7909469.00,27,"£4,298,817.41"
ED24C,"Complex, Single Heart Valve Replacement or Repair, with CC Score 0-5",533,12705.00,6771649.00,27,"£9,558,510.36"
ED25A,"Standard, Single Heart Valve Replacement or Repair, with CC Score 11+",402,14003.00,5629103.00,26,"£4,327,355.60"
ED25B,"Standard, Single Heart Valve Replacement or Repair, with CC Score 6-10","1,031",11859.00,12226989.00,27,"£14,924,115.32"
ED25C,"Standard, Single Heart Valve Replacement or Repair, with CC Score 0-5","1,603",10923.00,17509339.00,27,"£33,464,831.28"
ED26A,Complex Coronary Artery Bypass Graft with CC Score 10+,373,16429.00,6127886.00,26,"£928,323.56"
ED26B,Complex Coronary Artery Bypass Graft with CC Score 5-9,511,13677.00,6988755.00,28,"£1,958,884.41"
ED26C,Complex Coronary Artery Bypass Graft with CC Score 0-4,341,12572.00,4286958.00,28,"£2,853,723.60"
ED27A,Major Coronary Artery Bypass Graft with CC Score 10+,161,13430.00,2162223.00,23,"£314,831.07"
ED27B,Major Coronary Artery Bypass Graft with CC Score 5-9,423,11334.00,4794284.00,26,"£541,292.93"
ED27C,Major Coronary Artery Bypass Graft with CC Score 0-4,458,11090.00,5079334.00,26,"£1,455,943.18"
ED28A,Standard Coronary Artery Bypass Graft with CC Score 10+,603,11662.00,7032228.00,27,"£2,802,773.27"
ED28B,Standard Coronary Artery Bypass Graft with CC Score 5-9,"1,492",10382.00,15490195.00,28,"£35,299,762.16"
ED28C,Standard Coronary Artery Bypass Graft with CC Score 0-4,"1,866",9832.00,18345756.00,29,"£1,540,701.81"
ED30A,"Complex, Other Operations on Heart or Pericardium, with CC Score 10+",90,11655.00,1048978.00,27,"£32,550,571.68"
ED30B,"Complex, Other Operations on Heart or Pericardium, with CC Score 5-9",132,10349.00,1366111.00,31,"£169,729.81"
ED30C,"Complex, Other Operations on Heart or Pericardium, with CC Score 0-4",164,8320.00,1364521.00,34,"£2,926,665.18"
ED31A,"Standard, Other Operations on Heart or Pericardium, with CC Score 10+",50,9392.00,469605.00,20,"£6,309,163.60"
ED31B,"Standard, Other Operations on Heart or Pericardium, with CC Score 5-9",91,7185.00,653865.00,32,"£364,295.55"
ED31C,"Standard, Other Operations on Heart or Pericardium, with CC Score 0-4",184,6035.00,1110448.00,41,"£499,333.02"
EY01A,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 9+",237,5284.00,1252394.00,49,"£317,711.73"
EY01B,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with CC Score 0-8","1,406",3471.00,4879982.00,69,"£352,278.38"
EY02A,Implantation of Cardioverter Defibrillator with CC Score 9+,170,5337.00,907286.00,39,"£1,444,552.99"
EY02B,Implantation of Cardioverter Defibrillator with CC Score 0-8,"1,489",3182.00,4737491.00,69,"£4,859,625.13"
EY03Z,Implantation of Biventricular Pacemaker with Other Percutaneous Intervention,36,7486.00,269500.00,18,"£8,608,183.41"
EY04A,Implantation of Biventricular Pacemaker with CC Score 6+,585,4377.00,2560414.00,65,"£188,493.13"
EY04B,Implantation of Biventricular Pacemaker with CC Score 0-5,"1,027",4346.00,4463493.00,73,"£440,353.80"
EY05A,"Implantation of Dual-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",20,6958.00,139151.00,16,"£227,961.61"
EY05B,"Implantation of Dual-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",55,4566.00,251109.00,32,"£450,206.79"
EY06A,Implantation of Dual-Chamber Pacemaker with CC Score 12+,61,4415.00,269290.00,28,"£1,536,553.52"
EY06B,Implantation of Dual-Chamber Pacemaker with CC Score 9-11,123,3365.00,413896.00,52,"£4,006,434.04"
EY06C,Implantation of Dual-Chamber Pacemaker with CC Score 6-8,391,3137.00,1226460.00,86,"£5,986,596.47"
EY06D,Implantation of Dual-Chamber Pacemaker with CC Score 3-5,"1,197",3047.00,3646774.00,108,"£720,293.88"
EY06E,Implantation of Dual-Chamber Pacemaker with CC Score 0-2,"1,834",2673.00,4902262.00,110,"£603,725.33"
EY07A,"Implantation of Single-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 6+",11,6238.00,68613.00,7,"£302,776.54"
EY07B,"Implantation of Single-Chamber Pacemaker with Other Percutaneous Intervention, with CC Score 0-5",31,5137.00,159250.00,15,"£935,747.67"
EY08A,Implantation of Single-Chamber Pacemaker with CC Score 12+,59,5392.00,318109.00,30,"£32,181.87"
EY08B,Implantation of Single-Chamber Pacemaker with CC Score 9-11,104,3044.00,316529.00,48,"£171,429.01"
EY08C,Implantation of Single-Chamber Pacemaker with CC Score 6-8,293,3262.00,955879.00,65,"£533,973.12"
EY08D,Implantation of Single-Chamber Pacemaker with CC Score 3-5,739,2519.00,1861624.00,105,"£87,845.24"
EY08E,Implantation of Single-Chamber Pacemaker with CC Score 0-2,936,2330.00,2181068.00,99,"£1,647,739.29"
EY11Z,Testing of Cardiac Pacemaker or Cardioverter Defibrillator,17,619.00,10526.00,12,"£2,923,405.14"
EY12A,Implantation of Electrocardiography Loop Recorder with CC Score 3+,112,2062.00,230962.00,44,"£6,319,929.89"
EY12B,Implantation of Electrocardiography Loop Recorder with CC Score 0-2,213,2002.00,426446.00,48,"£23,891,034.91"
EY13Z,Removal of Electrocardiography Loop Recorder,92,929.00,85502.00,17,"£543,769.28"
EY14A,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with Extraction or Major Open Procedure, with CC Score 9+",10,12648.00,126478.00,6,"£1,286,463.54"
EY14B,"Implantation of Cardioverter Defibrillator with Cardiac Resynchronisation Therapy, with Extraction or Major Open Procedure, with CC Score 0-8",8,10749.00,85994.00,7,"£1,688,368.88"
EY15A,"Implantation of Cardioverter Defibrillator, with Extraction or Major Open Procedure, with CC Score 9+",7,68483.00,479378.00,5,"£180,482.24"
EY15B,"Implantation of Cardioverter Defibrillator, with Extraction or Major Open Procedure, with CC Score 0-8",18,9181.00,165265.00,13,"£290,606.03"
EY16A,"Extraction of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 10+",33,7286.00,240424.00,15,"£1,248,620.89"
EY16B,"Extraction of Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-9",144,7252.00,1044263.00,33,"£6,994,450.41"
EY17A,"Explantation or Attention to, Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 6+",147,3047.00,447967.00,49,"£24,190,789.31"
EY17B,"Explantation or Attention to, Cardiac Pacemaker or Cardioverter Defibrillator, with CC Score 0-5",275,2637.00,725291.00,63,"£5,861,940.65"
EY20A,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 8+",137,12014.00,1645918.00,23,"£17,889,833.39"
EY20B,"Transcatheter Aortic Valve Implantation (TAVI) using Other Approach, with CC Score 0-7",145,8716.00,1263753.00,23,"£869,464.37"
EY21A,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 8+",880,8492.00,7472713.00,26,"£1,412,249.02"
EY21B,"Transcatheter Aortic Valve Implantation (TAVI) using Transfemoral Approach, with CC Score 0-7","1,903",6183.00,11767168.00,26,"£134,244.67"
EY22A,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,64,9027.00,577700.00,19,"£489,566.28"
EY22B,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,192,4537.00,871135.00,26,"£3,624,315.10"
EY22C,Complex Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,261,3803.00,992503.00,31,"£9,045,988.32"
EY23A,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 10+,29,8315.00,241121.00,19,"£299,734.05"
EY23B,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 5-9,53,3544.00,187829.00,20,"£813,263.69"
EY23C,Standard Other Percutaneous Transluminal Repair of Acquired Defect of Heart with CC Score 0-4,146,3281.00,478980.00,37,"£5,049,520.82"
EY30A,Complex Percutaneous Transluminal Ablation of Heart with CC Score 3+,"2,001",4838.00,9681584.00,34,"£13,411,217.59"
EY30B,Complex Percutaneous Transluminal Ablation of Heart with CC Score 0-2,"3,931",3751.00,14745402.00,35,"£828,769.65"
EY31A,Standard Percutaneous Transluminal Ablation of Heart with CC Score 3+,"1,299",3591.00,4664582.00,41,"£1,137,042.27"
EY31B,Standard Percutaneous Transluminal Ablation of Heart with CC Score 0-2,"2,579",3178.00,8196895.00,41,"£1,395,644.31"
EY32A,Percutaneous Diagnostic Electrophysiology Studies with CC Score 2+,260,3067.00,797320.00,33,"£955,627.01"
EY32B,Percutaneous Diagnostic Electrophysiology Studies with CC Score 0-1,381,2499.00,952134.00,34,"£662,325.45"
EY40A,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,52,6076.00,315961.00,22,"£762,773.15"
EY40B,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,216,4524.00,977213.00,54,"£2,076,996.65"
EY40C,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,989,3637.00,3597265.00,75,"£5,475,185.36"
EY40D,Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,"2,194",2964.00,6503806.00,78,"£6,374,037.70"
EY41A,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,62,4266.00,264485.00,28,"£5,716,558.32"
EY41B,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,214,3696.00,791036.00,55,"£876,501.88"
EY41C,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,"1,402",2889.00,4050631.00,77,"£49,447.33"
EY41D,Standard Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,"3,115",2489.00,7753260.00,81,"£538,226.18"
EY42A,Complex Cardiac Catheterisation with CC Score 7+,185,4263.00,788605.00,55,"£1,405,829.06"
EY42B,Complex Cardiac Catheterisation with CC Score 4-6,385,2425.00,933540.00,63,"£3,797,055.74"
EY42C,Complex Cardiac Catheterisation with CC Score 2-3,504,2182.00,1099796.00,69,"£6,625,471.05"
EY42D,Complex Cardiac Catheterisation with CC Score 0-1,399,2050.00,818026.00,67,"£7,255,856.50"
EY43A,Standard Cardiac Catheterisation with CC Score 13+,170,5457.00,927610.00,47,"£380,266.94"
EY43B,Standard Cardiac Catheterisation with CC Score 10-12,260,4354.00,1131983.00,64,"£204,729.40"
EY43C,Standard Cardiac Catheterisation with CC Score 7-9,725,3151.00,2284758.00,91,"£114,833.38"
EY43D,Standard Cardiac Catheterisation with CC Score 4-6,"2,075",2492.00,5171729.00,113,"£178,160.56"
EY43E,Standard Cardiac Catheterisation with CC Score 2-3,"2,572",2094.00,5385961.00,112,"£6,435,493.52"
EY43F,Standard Cardiac Catheterisation with CC Score 0-1,"1,999",1916.00,3830409.00,112,"£195,417.90"
EY44A,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 12+,14,5152.00,72134.00,14,"£161,292.13"
EY44B,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 8-11,62,5844.00,362336.00,32,"£2,337,858.79"
EY44C,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 4-7,268,4821.00,1292162.00,59,"£12,023,769.21"
EY44D,Very Complex Percutaneous Transluminal Coronary Angioplasty with CC Score 0-3,338,4094.00,1383680.00,60,"£9,790,425.84"
EY50Z,Complex Echocardiogram,606,1805.00,1093815.00,71,"£466,628.68"
EY51Z,Electrocardiogram Monitoring or Stress Testing,46,643.00,29599.00,13,"£1,081,827.97"
FD01A,"Gastrointestinal Infections with Multiple Interventions, with CC Score 4+",16,8869.00,141905.00,15,"£847,762.97"
FD01B,"Gastrointestinal Infections with Multiple Interventions, with CC Score 0-3",20,4499.00,89970.00,12,"£5,421,625.33"
FD01C,"Gastrointestinal Infections with Single Intervention, with CC Score 5+",34,3579.00,121681.00,27,"£14,459,143.92"
FD01D,"Gastrointestinal Infections with Single Intervention, with CC Score 2-4",51,3495.00,178235.00,33,"£19,271,849.83"
FD01E,"Gastrointestinal Infections with Single Intervention, with CC Score 0-1",72,2441.00,175735.00,44,"£450,465.74"
FD01F,"Gastrointestinal Infections without Interventions, with CC Score 8+",102,3369.00,343640.00,46,"£1,622,139.36"
FD01G,"Gastrointestinal Infections without Interventions, with CC Score 5-7",169,2590.00,437781.00,68,"£130,399.94"
FD01H,"Gastrointestinal Infections without Interventions, with CC Score 2-4",389,1712.00,666120.00,94,"£283,131.20"
FD01J,"Gastrointestinal Infections without Interventions, with CC Score 0-1",355,1223.00,434227.00,88,"£917,555.22"
FD02A,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 3+",28,12309.00,344649.00,21,"£1,378,247.73"
FD02B,"Inflammatory Bowel Disease with Multiple Interventions, with CC Score 0-2",51,3647.00,185983.00,38,"£49,367.62"
FD02C,"Inflammatory Bowel Disease with Single Intervention, with CC Score 4+",88,6014.00,529234.00,56,"£351,227.44"
FD02D,"Inflammatory Bowel Disease with Single Intervention, with CC Score 0-3",508,3134.00,1592141.00,104,"£631,833.25"
FD02E,"Inflammatory Bowel Disease without Interventions, with CC Score 5+",243,3011.00,731768.00,66,"£892,038.91"
FD02F,"Inflammatory Bowel Disease without Interventions, with CC Score 3-4",332,1867.00,619882.00,92,"£1,284,841.68"
FD02G,"Inflammatory Bowel Disease without Interventions, with CC Score 1-2","1,068",1499.00,1601376.00,117,"£2,139,891.04"
FD02H,"Inflammatory Bowel Disease without Interventions, with CC Score 0","2,289",948.00,2170560.00,120,"£954,993.81"
FD03A,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 5+",27,6246.00,168643.00,24,"£785,370.71"
FD03B,"Gastrointestinal Bleed with Multiple Interventions, with CC Score 0-4",36,3043.00,109533.00,27,"£2,198,945.88"
FD03C,"Gastrointestinal Bleed with Single Intervention, with CC Score 8+",13,3612.00,46958.00,12,"£5,598,243.28"
FD03D,"Gastrointestinal Bleed with Single Intervention, with CC Score 5-7",53,2155.00,114207.00,39,"£2,334,411.49"
FD03E,"Gastrointestinal Bleed with Single Intervention, with CC Score 0-4",230,2142.00,492748.00,88,"£40,269.40"
FD03F,"Gastrointestinal Bleed without Interventions, with CC Score 9+",40,1718.00,68728.00,18,"£160,694.70"
FD03G,"Gastrointestinal Bleed without Interventions, with CC Score 5-8",234,1403.00,328229.00,69,"£111,712.57"
FD03H,"Gastrointestinal Bleed without Interventions, with CC Score 0-4",708,963.00,682083.00,111,"£522,791.32"
FD04A,"Nutritional Disorders with Interventions, with CC Score 2+",129,5583.00,720144.00,57,"£899,839.85"
FD04B,"Nutritional Disorders with Interventions, with CC Score 0-1",205,1422.00,291509.00,44,"£1,048,635.36"
FD04C,"Nutritional Disorders without Interventions, with CC Score 6+",61,2162.00,131887.00,35,"£292,783.85"
FD04D,"Nutritional Disorders without Interventions, with CC Score 2-5",337,2062.00,694728.00,81,"£890,486.36"
FD04E,"Nutritional Disorders without Interventions, with CC Score 0-1",504,1614.00,813409.00,90,"£1,896,779.13"
FD05A,Abdominal Pain with Interventions,243,3149.00,765326.00,94,"£2,302,454.40"
FD05B,Abdominal Pain without Interventions,"1,969",741.00,1458695.00,125,"£155,184.87"
FD10A,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 8+",85,14330.00,1218014.00,46,"£125,694.73"
FD10B,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 5-7",213,6358.00,1354163.00,89,"£155,042.39"
FD10C,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 3-4",296,5804.00,1718085.00,91,"£224,514.07"
FD10D,"Non-Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 0-2",612,3760.00,2301064.00,120,"£217,077.76"
FD10E,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 9+",117,5205.00,609042.00,61,"£164,952.30"
FD10F,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 5-8",549,4184.00,2296955.00,118,"£400,010.12"
FD10G,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 3-4",818,3202.00,2619177.00,127,"£569,587.37"
FD10H,"Non-Malignant Gastrointestinal Tract Disorders with Single Intervention, with CC Score 0-2","3,001",3374.00,10124705.00,138,"£497,985.84"
FD10J,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 11+",169,3878.00,655423.00,66,"£388,008.53"
FD10K,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 6-10","1,133",2685.00,3041805.00,121,"£329,571.40"
FD10L,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 3-5","2,723",1733.00,4718468.00,133,"£275,947.79"
FD10M,"Non-Malignant Gastrointestinal Tract Disorders without Interventions, with CC Score 0-2","6,223",1218.00,7579700.00,137,"£1,440,219.64"
FD11A,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 7+",110,9650.00,1061465.00,61,"£376,236.54"
FD11B,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 3-6",186,5735.00,1066668.00,92,"£570,002.00"
FD11C,"Malignant Gastrointestinal Tract Disorders with Multiple Interventions, with CC Score 0-2",210,4188.00,879454.00,87,"£1,186,305.18"
